league,season,team,player,nation,pos,age,born,partidos,titularidades,minutos,noventa_min,goles,asistencias,g_a,goles_sin_penal,penales,penales_int,amarillas,rojas,goles_90,asistencias_90,g_a_90,goles_sin_penal_90,g_a_sin_penal_90
ENG-Premier League,2526,Sunderland,Romaine Mundle,ENG,MF,23,2003,14,2,411,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Sunderland,Simon Adingra,CIV,"MF,FW",24,2002,14,9,653,7.3,1,0,1,1,0,0,2,0,0.14,0.0,0.14,0.14,0.14
ENG-Premier League,2526,Sunderland,Trai Hume,NIR,"DF,MF",24,2002,37,33,2946,32.7,1,1,2,1,0,0,9,0,0.03,0.03,0.06,0.03,0.06
ENG-Premier League,2526,Sunderland,Wilson Isidor,HAI,FW,25,2000,31,11,1135,12.6,6,0,6,6,0,0,1,0,0.48,0.0,0.48,0.48,0.48
ENG-Premier League,2526,Tottenham Hotspur,Antonín Kinský,CZE,GK,23,2003,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Tottenham Hotspur,Archie Gray,ENG,"MF,DF",20,2006,23,18,1469,16.3,2,2,4,2,0,0,5,0,0.12,0.12,0.25,0.12,0.25
ENG-Premier League,2526,Tottenham Hotspur,Ben Davies,WAL,DF,33,1993,3,2,137,1.5,1,0,1,1,0,0,1,0,0.66,0.0,0.66,0.66,0.66
ENG-Premier League,2526,Tottenham Hotspur,Brennan Johnson,WAL,"MF,FW",24,2001,16,6,610,6.8,2,0,2,2,0,0,2,0,0.3,0.0,0.3,0.3,0.3
ENG-Premier League,2526,Tottenham Hotspur,Callum Olusesi,ENG,MF,19,2007,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Tottenham Hotspur,Conor Gallagher,ENG,MF,26,2000,14,12,1013,11.3,1,1,2,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18
ENG-Premier League,2526,Tottenham Hotspur,Cristian Romero,ARG,DF,28,1998,23,22,1868,20.8,4,1,5,4,0,0,11,2,0.19,0.05,0.24,0.19,0.24
ENG-Premier League,2526,Tottenham Hotspur,Dane Scarlett,ENG,FW,22,2004,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Tottenham Hotspur,Destiny Udogie,ITA,"DF,MF",23,2002,18,12,1182,13.1,0,1,1,0,0,0,3,0,0.0,0.08,0.08,0.0,0.08
ENG-Premier League,2526,Tottenham Hotspur,Djed Spence,ENG,"DF,MF",25,2000,28,22,1943,21.6,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Tottenham Hotspur,Dominic Solanke,ENG,FW,28,1997,15,11,1001,11.1,3,0,3,3,0,0,1,0,0.27,0.0,0.27,0.27,0.27
ENG-Premier League,2526,Tottenham Hotspur,Guglielmo Vicario,ITA,GK,29,1996,31,31,2790,31.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Tottenham Hotspur,James Maddison,ENG,"FW,MF",29,1996,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Tottenham Hotspur,James Rowswell,ENG,DF,19,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Tottenham Hotspur,João Palhinha,POR,MF,30,1995,31,21,2041,22.7,4,2,6,4,0,0,7,0,0.18,0.09,0.26,0.18,0.26
ENG-Premier League,2526,Tottenham Hotspur,Jun'ai Byfield,ENG,DF,17,2008,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Tottenham Hotspur,Kevin Danso,AUT,DF,27,1998,22,15,1314,14.6,0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Tottenham Hotspur,Lucas Bergvall,SWE,MF,20,2006,23,11,965,10.7,1,3,4,1,0,0,2,0,0.09,0.28,0.37,0.09,0.37
ENG-Premier League,2526,Tottenham Hotspur,Mathys Tel,FRA,"MF,FW",21,2005,29,11,1187,13.2,4,1,5,4,0,0,1,0,0.3,0.08,0.38,0.3,0.38
ENG-Premier League,2526,Tottenham Hotspur,Micky van de Ven,NED,DF,25,2001,33,33,2861,31.8,4,1,5,4,0,0,8,1,0.13,0.03,0.16,0.13,0.16
ENG-Premier League,2526,Tottenham Hotspur,Mohammed Kudus,GHA,"MF,FW",25,2000,19,19,1535,17.1,2,5,7,2,0,0,3,0,0.12,0.29,0.41,0.12,0.41
ENG-Premier League,2526,Tottenham Hotspur,Pape Matar Sarr,SEN,MF,23,2002,24,13,1357,15.1,2,3,5,2,0,0,2,0,0.13,0.2,0.33,0.13,0.33
ENG-Premier League,2526,Tottenham Hotspur,Pedro Porro,ESP,DF,26,1999,32,30,2616,29.1,1,2,3,1,0,0,9,0,0.03,0.07,0.1,0.03,0.1
ENG-Premier League,2526,Tottenham Hotspur,Radu Drăgușin,ROU,DF,24,2002,9,5,516,5.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Tottenham Hotspur,Randal Kolo Muani,FRA,"FW,MF",27,1998,28,20,1578,17.5,1,1,2,1,0,0,3,0,0.06,0.06,0.11,0.06,0.11
ENG-Premier League,2526,Tottenham Hotspur,Richarlison,BRA,"FW,MF",29,1997,30,18,1802,20.0,10,4,14,10,0,0,5,0,0.5,0.2,0.7,0.5,0.7
ENG-Premier League,2526,Tottenham Hotspur,Rodrigo Bentancur,URU,MF,28,1997,24,21,1712,19.0,1,1,2,1,0,0,7,0,0.05,0.05,0.11,0.05,0.11
ENG-Premier League,2526,Tottenham Hotspur,Souza,BRA,MF,19,2006,4,2,144,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Tottenham Hotspur,Wilson Odobert,FRA,"MF,FW",21,2004,24,10,985,10.9,0,2,2,0,0,0,0,0,0.0,0.18,0.18,0.0,0.18
ENG-Premier League,2526,Tottenham Hotspur,Xavi Simons,NED,"MF,FW",23,2003,28,19,1755,19.5,2,5,7,2,0,0,5,1,0.1,0.26,0.36,0.1,0.36
ENG-Premier League,2526,Tottenham Hotspur,Yves Bissouma,MLI,MF,29,1996,11,7,603,6.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Aaron Wan-Bissaka,COD,"DF,MF",28,1997,25,23,2081,23.1,0,2,2,0,0,0,4,0,0.0,0.09,0.09,0.0,0.09
ENG-Premier League,2526,West Ham United,Adama Traoré,ESP,"FW,MF",30,1996,9,0,121,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Alphonse Areola,FRA,GK,33,1993,20,20,1800,20.0,0,1,1,0,0,0,0,0,0.0,0.05,0.05,0.0,0.05
ENG-Premier League,2526,West Ham United,Andy Irving,SCO,MF,26,2000,7,2,158,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Axel Disasi,FRA,DF,28,1998,13,13,1164,12.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Callum Marshall,NIR,FW,21,2004,2,0,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Callum Wilson,ENG,FW,34,1992,31,11,1206,13.4,6,1,7,6,0,0,1,0,0.45,0.07,0.52,0.45,0.52
ENG-Premier League,2526,West Ham United,Crysencio Summerville,NED,"MF,FW",24,2001,30,28,2380,26.4,5,1,6,5,0,0,6,0,0.19,0.04,0.23,0.19,0.23
ENG-Premier League,2526,West Ham United,El Hadji Malick Diouf,SEN,"DF,MF",21,2004,31,29,2617,29.1,0,5,5,0,0,0,6,0,0.0,0.17,0.17,0.0,0.17
ENG-Premier League,2526,West Ham United,Ezra Mayers,BRB,DF,19,2007,6,0,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Freddie Potts,ENG,MF,22,2003,22,12,1171,13.0,0,1,1,0,0,0,1,0,0.0,0.08,0.08,0.0,0.08
ENG-Premier League,2526,West Ham United,George Earthy,ENG,MF,21,2004,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Guido Rodríguez,ARG,MF,32,1994,6,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Igor,BRA,DF,28,1998,4,1,105,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,James Ward-Prowse,ENG,MF,31,1994,5,5,413,4.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Jarrod Bowen,ENG,"MF,FW",29,1996,37,37,3313,36.8,8,10,18,7,1,1,4,0,0.22,0.27,0.49,0.19,0.46
ENG-Premier League,2526,West Ham United,Jean-Clair Todibo,FRA,DF,26,1999,23,22,1814,20.2,0,1,1,0,0,0,5,1,0.0,0.05,0.05,0.0,0.05
ENG-Premier League,2526,West Ham United,Konstantinos Mavropanos,GRE,DF,28,1997,30,26,2444,27.2,3,0,3,3,0,0,2,0,0.11,0.0,0.11,0.11,0.11
ENG-Premier League,2526,West Ham United,Kyle Walker-Peters,ENG,DF,29,1997,22,14,1293,14.4,1,0,1,1,0,0,2,0,0.07,0.0,0.07,0.07,0.07
ENG-Premier League,2526,West Ham United,Lucas Paquetá,BRA,"MF,FW",28,1997,18,18,1511,16.8,4,1,5,2,2,2,7,1,0.24,0.06,0.3,0.12,0.18
ENG-Premier League,2526,West Ham United,Luis Guilherme,BRA,FW,20,2006,5,1,125,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Mads Hermansen,DEN,GK,25,2000,17,17,1530,17.0,0,1,1,0,0,0,0,0,0.0,0.06,0.06,0.0,0.06
ENG-Premier League,2526,West Ham United,Mateus Fernandes,POR,MF,21,2004,35,34,2926,32.5,3,3,6,3,0,0,7,0,0.09,0.09,0.18,0.09,0.18
ENG-Premier League,2526,West Ham United,Max Kilman,ENG,DF,28,1997,21,17,1561,17.3,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Mohamadou Kanté,FRA,MF,20,2005,10,0,72,0.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Nayef Aguerd,MAR,DF,30,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Niclas Füllkrug,GER,FW,33,1993,8,5,409,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Oliver Scarles,ENG,"DF,MF",20,2005,13,9,659,7.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,West Ham United,Pablo,BRA,"MF,FW",22,2004,13,9,778,8.6,0,1,1,0,0,0,0,0,0.0,0.12,0.12,0.0,0.12
ENG-Premier League,2526,West Ham United,Soungoutou Magassa,FRA,MF,22,2003,22,11,981,10.9,1,0,1,1,0,0,4,0,0.09,0.0,0.09,0.09,0.09
ENG-Premier League,2526,West Ham United,Tomáš Souček,CZE,MF,31,1995,34,23,2110,23.4,5,0,5,5,0,0,3,1,0.21,0.0,0.21,0.21,0.21
ENG-Premier League,2526,West Ham United,Valentín Castellanos,ARG,FW,27,1998,17,16,1297,14.4,5,0,5,5,0,0,6,0,0.35,0.0,0.35,0.35,0.35
ENG-Premier League,2526,Wolves,Adam Armstrong,ENG,"FW,MF",29,1997,13,13,1067,11.9,1,2,3,1,0,0,3,0,0.08,0.17,0.25,0.08,0.25
ENG-Premier League,2526,Wolves,André,BRA,MF,24,2001,34,29,2672,29.7,1,0,1,1,0,0,12,0,0.03,0.0,0.03,0.03,0.03
ENG-Premier League,2526,Wolves,Angel Gomes,ENG,"MF,FW",25,2000,11,6,396,4.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Wolves,Daniel Bentley,ENG,GK,32,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Wolves,David Møller Wolfe,NOR,"MF,DF",24,2002,21,10,976,10.8,0,2,2,0,0,0,1,0,0.0,0.18,0.18,0.0,0.18
ENG-Premier League,2526,Wolves,Emmanuel Agbadou,CIV,DF,28,1997,14,12,1101,12.2,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Wolves,Fer López,ESP,MF,21,2004,9,2,235,2.6,0,1,1,0,0,0,1,0,0.0,0.38,0.38,0.0,0.38
ENG-Premier League,2526,Wolves,Hugo Bueno,ESP,"MF,DF",23,2002,34,26,2349,26.1,1,2,3,1,0,0,3,0,0.04,0.08,0.11,0.04,0.11
ENG-Premier League,2526,Wolves,Hwang Hee-chan,KOR,"FW,MF",30,1996,25,17,1356,15.1,2,2,4,1,1,1,4,0,0.13,0.13,0.27,0.07,0.2
ENG-Premier League,2526,Wolves,Jackson Tchatchoua,CMR,"MF,DF",24,2001,31,19,1845,20.5,0,1,1,0,0,0,3,0,0.0,0.05,0.05,0.0,0.05
ENG-Premier League,2526,Wolves,Jean-Ricner Bellegarde,HAI,"MF,FW",27,1998,26,15,1248,13.9,1,1,2,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14
ENG-Premier League,2526,Wolves,Jhon Arias,COL,"FW,MF",28,1997,23,14,1124,12.5,1,0,1,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08
ENG-Premier League,2526,Wolves,José Sá,POR,GK,33,1993,22,22,1980,22.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Wolves,João Gomes,BRA,MF,25,2001,35,32,2829,31.4,1,1,2,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06
ENG-Premier League,2526,Wolves,Jørgen Strand Larsen,NOR,FW,26,2000,22,14,1404,15.6,1,1,2,0,1,2,2,0,0.06,0.06,0.13,0.0,0.06
ENG-Premier League,2526,Wolves,Ki-Jana Hoever,NED,"MF,DF",24,2002,8,6,425,4.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Wolves,Ladislav Krejčí,CZE,"DF,MF",27,1999,27,26,2291,25.5,2,1,3,2,0,0,5,1,0.08,0.04,0.12,0.08,0.12
ENG-Premier League,2526,Wolves,Marshall Munetsi,ZIM,"MF,FW",29,1996,13,9,875,9.7,1,1,2,1,0,0,2,0,0.1,0.1,0.21,0.1,0.21
ENG-Premier League,2526,Wolves,Mateus Mane,POR,MF,18,2007,26,18,1705,18.9,3,1,4,3,0,0,0,0,0.16,0.05,0.21,0.16,0.21
ENG-Premier League,2526,Wolves,Matt Doherty,IRL,"DF,MF",34,1992,11,11,787,8.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Wolves,Pedro Lima,BRA,MF,19,2006,8,3,251,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Wolves,Rodrigo Gomes,POR,"MF,FW",22,2003,21,8,879,9.8,3,0,3,3,0,0,0,0,0.31,0.0,0.31,0.31,0.31
ENG-Premier League,2526,Wolves,Sam Johnstone,ENG,GK,33,1993,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Wolves,Santiago Bueno,URU,DF,27,1998,28,27,2463,27.4,3,1,4,3,0,0,4,0,0.11,0.04,0.15,0.11,0.15
ENG-Premier League,2526,Wolves,Sasa Kalajdzic,AUT,"FW,MF",28,1997,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Wolves,Tawanda Chirewa,ZIM,MF,22,2003,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Wolves,Tolu Arokodare,NGA,FW,25,2000,32,13,1394,15.5,3,1,4,3,0,1,1,0,0.19,0.06,0.26,0.19,0.26
ENG-Premier League,2526,Wolves,Tom Edozie,ENG,MF,20,2006,3,0,14,0.2,1,0,1,1,0,0,0,0,6.43,0.0,6.43,6.43,6.43
ENG-Premier League,2526,Wolves,Toti Gomes,POR,DF,27,1999,18,17,1399,15.5,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Wolves,Yerson Mosquera,COL,DF,25,2001,26,23,2046,22.7,0,0,0,0,0,0,11,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Alavés,Abde Rebbach,ALG,"MF,DF",27,1998,29,14,1406,15.6,1,4,5,1,0,0,7,0,0.06,0.26,0.32,0.06,0.32
ESP-La Liga,2526,Alavés,Aitor Mañas,ESP,FW,23,2003,9,0,122,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Alavés,Ander Guevara,ESP,MF,28,1997,24,2,647,7.2,1,1,2,1,0,0,4,1,0.14,0.14,0.28,0.14,0.28
ESP-La Liga,2526,Alavés,Antonio Blanco,ESP,MF,25,2000,35,35,3020,33.6,2,3,5,2,0,0,9,0,0.06,0.09,0.15,0.06,0.15
ESP-La Liga,2526,Alavés,Antonio Sivera,ESP,GK,29,1996,37,37,3330,37.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Alavés,Calebe,BRA,MF,26,2000,19,13,752,8.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Alavés,Carles Aleñá,ESP,MF,28,1998,34,23,1989,22.1,0,4,4,0,0,0,5,0,0.0,0.18,0.18,0.0,0.18
ESP-La Liga,2526,Alavés,Carlos Ballestero,ESP,DF,22,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Alavés,Carlos Benavídez,URU,DF,28,1998,12,3,266,3.0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Alavés,Carlos Vicente,ESP,MF,27,1999,21,11,1258,14.0,5,0,5,2,3,3,1,0,0.36,0.0,0.36,0.14,0.14
ESP-La Liga,2526,Alavés,Denis Suárez,ESP,MF,32,1994,29,15,1389,15.4,1,2,3,1,0,0,6,0,0.06,0.13,0.19,0.06,0.19
ESP-La Liga,2526,Alavés,Diego Morcillo,ESP,FW,22,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Alavés,Facundo Garcés,MAS,DF,26,1999,10,8,793,8.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Alavés,Ibrahim Diabaté,CIV,FW,26,1999,9,6,571,6.3,2,0,2,2,0,0,1,0,0.32,0.0,0.32,0.32,0.32
ESP-La Liga,2526,Alavés,Jon Guridi,ESP,"MF,FW",31,1995,27,14,1155,12.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Alavés,Jon Pacheco,ESP,DF,25,2001,22,20,1735,19.3,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Alavés,Jonny Castro,ESP,DF,32,1994,34,34,2994,33.3,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Alavés,Lander Pinillos,ESP,MF,22,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Alavés,Lucas Boyé,ARG,FW,30,1996,28,21,1875,20.8,11,1,12,8,3,3,4,1,0.53,0.05,0.58,0.38,0.43
ESP-La Liga,2526,Alavés,Mariano,DOM,FW,32,1993,10,3,288,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Alavés,Moussa Diarra,MLI,DF,25,2000,3,3,216,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Alavés,Nahuel Tenaglia,ARG,DF,30,1996,35,35,3149,35.0,2,0,2,2,0,0,2,0,0.06,0.0,0.06,0.06,0.06
ESP-La Liga,2526,Alavés,Pablo Ibáñez,ESP,MF,27,1998,36,27,2163,24.0,1,1,2,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08
ESP-La Liga,2526,Alavés,Toni Martínez,ESP,FW,28,1997,36,31,2624,29.2,13,3,16,12,1,1,2,0,0.45,0.1,0.55,0.41,0.51
ESP-La Liga,2526,Alavés,Victor Parada,ESP,DF,24,2002,29,24,2114,23.5,0,3,3,0,0,0,9,1,0.0,0.13,0.13,0.0,0.13
ESP-La Liga,2526,Alavés,Ville Koski,FIN,DF,24,2002,4,2,192,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Alavés,Youssef Lekhedim,ESP,"DF,MF",20,2005,25,13,1335,14.8,0,1,1,0,0,0,7,0,0.0,0.07,0.07,0.0,0.07
ESP-La Liga,2526,Alavés,Ángel Pérez,ESP,"MF,DF",23,2002,15,13,1198,13.3,1,3,4,1,0,0,3,0,0.08,0.23,0.3,0.08,0.3
ESP-La Liga,2526,Athletic Club,Adama Boiro,ESP,DF,23,2002,13,7,725,8.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Athletic Club,Aitor Paredes,ESP,DF,26,2000,18,17,1540,17.1,2,0,2,2,0,0,4,0,0.12,0.0,0.12,0.12,0.12
ESP-La Liga,2526,Athletic Club,Alejandro Rego,ESP,MF,22,2003,28,11,1248,13.9,1,1,2,1,0,0,6,0,0.07,0.07,0.14,0.07,0.14
ESP-La Liga,2526,Athletic Club,Andoni Gorosabel,ESP,DF,29,1996,23,15,1315,14.6,0,1,1,0,0,0,3,0,0.0,0.07,0.07,0.0,0.07
ESP-La Liga,2526,Athletic Club,Asier Hierro,ESP,FW,21,2005,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Athletic Club,Aymeric Laporte,ESP,DF,31,1994,25,24,2058,22.9,0,1,1,0,0,0,4,0,0.0,0.04,0.04,0.0,0.04
ESP-La Liga,2526,Athletic Club,Beñat Prados,ESP,MF,25,2001,2,1,85,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Athletic Club,Daniel Vivian,ESP,DF,26,1999,30,27,2474,27.5,1,0,1,1,0,0,8,1,0.04,0.0,0.04,0.04,0.04
ESP-La Liga,2526,Athletic Club,Eder García,ESP,FW,22,2004,2,0,38,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Athletic Club,Gorka Guruzeta,ESP,FW,29,1996,34,27,2290,25.4,9,3,12,8,1,1,6,1,0.35,0.12,0.47,0.31,0.43
ESP-La Liga,2526,Athletic Club,Iñaki Williams,GHA,"MF,FW",31,1994,29,24,2067,23.0,3,4,7,2,1,1,2,0,0.13,0.17,0.3,0.09,0.26
ESP-La Liga,2526,Athletic Club,Iñigo Lekue,ESP,DF,33,1993,10,8,569,6.3,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,32,1993,33,29,2147,23.9,1,2,3,1,0,0,10,0,0.04,0.08,0.13,0.04,0.13
ESP-La Liga,2526,Athletic Club,Jesús Areso,ESP,DF,26,1999,26,14,1506,16.7,0,1,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06
ESP-La Liga,2526,Athletic Club,Maroan Sannadi,MAR,FW,25,2001,10,2,288,3.2,1,0,1,1,0,0,2,0,0.31,0.0,0.31,0.31,0.31
ESP-La Liga,2526,Athletic Club,Mikel Jauregizar,ESP,MF,22,2003,35,33,2747,30.5,2,0,2,2,0,0,6,1,0.07,0.0,0.07,0.07,0.07
ESP-La Liga,2526,Athletic Club,Mikel Vesga,ESP,MF,32,1993,22,1,459,5.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Athletic Club,Nico Williams,ESP,MF,23,2002,25,20,1674,18.6,6,3,9,5,1,2,2,0,0.32,0.16,0.48,0.27,0.43
ESP-La Liga,2526,Athletic Club,Nicolás Serrano,ESP,MF,23,2003,16,4,366,4.1,1,0,1,1,0,0,0,0,0.25,0.0,0.25,0.25,0.25
ESP-La Liga,2526,Athletic Club,Oihan Sancet,ESP,MF,26,2000,28,22,1788,19.9,4,0,4,2,2,2,4,1,0.2,0.0,0.2,0.1,0.1
ESP-La Liga,2526,Athletic Club,Roberto Navarro,ESP,MF,24,2002,31,9,1217,13.5,6,1,7,6,0,0,1,0,0.44,0.07,0.52,0.44,0.52
ESP-La Liga,2526,Athletic Club,Selton Sánchez,ESP,MF,19,2007,7,2,196,2.2,0,1,1,0,0,0,0,0,0.0,0.46,0.46,0.0,0.46
ESP-La Liga,2526,Athletic Club,Unai Gómez,ESP,MF,22,2003,25,11,877,9.7,1,1,2,1,0,0,1,0,0.1,0.1,0.21,0.1,0.21
ESP-La Liga,2526,Athletic Club,Unai Simón,ESP,GK,28,1997,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Athletic Club,Urko Izeta,ESP,FW,26,1999,12,1,176,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Athletic Club,Yeray Álvarez,ESP,DF,31,1995,6,5,468,5.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Athletic Club,Yuri Berchiche,ESP,DF,36,1990,32,31,2705,30.1,0,6,6,0,0,0,5,0,0.0,0.2,0.2,0.0,0.2
ESP-La Liga,2526,Athletic Club,Álex Berenguer,ESP,MF,30,1995,31,25,2154,23.9,2,3,5,2,0,0,4,0,0.08,0.13,0.21,0.08,0.21
ESP-La Liga,2526,Atlético Madrid,Ademola Lookman,NGA,"FW,MF",28,1997,11,8,557,6.2,4,0,4,3,1,1,1,0,0.65,0.0,0.65,0.48,0.48
ESP-La Liga,2526,Atlético Madrid,Aleksa Puric,SRB,DF,22,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ESP-La Liga,2526,Atlético Madrid,Alex Baena,ESP,"MF,FW",24,2001,26,20,1500,16.7,2,3,5,2,0,0,5,0,0.12,0.18,0.3,0.12,0.3
ESP-La Liga,2526,Atlético Madrid,Alexander Sørloth,NOR,FW,30,1995,34,20,1935,21.5,13,0,13,13,0,0,4,1,0.6,0.0,0.6,0.6,0.6
ESP-La Liga,2526,Atlético Madrid,Antoine Griezmann,FRA,FW,35,1991,33,12,1391,15.5,7,3,10,7,0,0,1,0,0.45,0.19,0.65,0.45,0.65
