league,season,team,player,nation,pos,age,born,partidos,titularidades,minutos,noventa_min,goles,asistencias,g_a,goles_sin_penal,penales,penales_int,amarillas,rojas,goles_90,asistencias_90,g_a_90,goles_sin_penal_90,g_a_sin_penal_90
ENG-Premier League,2526,Manchester Utd,Matthijs de Ligt,NED,DF,26,1999,13,13,1170,13.0,1,0,1,1,0,0,0,0,0.08,0.0,0.08,0.08,0.08
ENG-Premier League,2526,Manchester Utd,Noussair Mazraoui,MAR,"DF,MF",28,1997,19,10,912,10.1,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Manchester Utd,Patrick Dorgu,DEN,MF,21,2004,25,14,1388,15.4,3,3,6,3,0,0,5,0,0.19,0.19,0.39,0.19,0.39
ENG-Premier League,2526,Manchester Utd,Senne Lammens,BEL,GK,23,2002,31,31,2790,31.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Manchester Utd,Shea Lacey,ENG,FW,19,2007,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Manchester Utd,Tyler Fletcher,SCO,MF,19,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Manchester Utd,Tyler Fredricson,ENG,DF,21,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Manchester Utd,Tyrell Malacia,NED,DF,26,1999,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Newcastle United,Aaron Ramsdale,ENG,GK,28,1998,12,11,1004,11.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Newcastle United,Alex Murphy,IRL,DF,21,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Newcastle United,Anthony Elanga,SWE,"FW,MF",24,2002,31,14,1294,14.4,0,1,1,0,0,0,0,0,0.0,0.07,0.07,0.0,0.07
ENG-Premier League,2526,Newcastle United,Anthony Gordon,ENG,FW,25,2001,26,24,1795,19.9,6,2,8,3,3,3,3,1,0.3,0.1,0.4,0.15,0.25
ENG-Premier League,2526,Newcastle United,Bruno Guimarães,BRA,MF,28,1997,28,26,2388,26.5,9,5,14,7,2,2,5,0,0.34,0.19,0.53,0.26,0.45
ENG-Premier League,2526,Newcastle United,Dan Burn,ENG,DF,34,1992,28,24,2116,23.5,1,2,3,1,0,0,11,1,0.04,0.09,0.13,0.04,0.13
ENG-Premier League,2526,Newcastle United,Emil Krafth,SWE,DF,31,1994,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Newcastle United,Fabian Schär,SUI,DF,34,1991,16,11,1091,12.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Newcastle United,Harvey Barnes,ENG,"FW,MF",28,1997,36,19,1921,21.3,7,1,8,7,0,0,1,0,0.33,0.05,0.37,0.33,0.37
ENG-Premier League,2526,Newcastle United,Jacob Murphy,ENG,"FW,MF",31,1995,32,18,1572,17.5,3,2,5,3,0,0,2,0,0.17,0.11,0.29,0.17,0.29
